source_story_id,source_file,description,text,label,generator
s0023,0023_I_Drive_for_Cerber.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: I Drive for Cerber. Motifs or anchor words: sleep, went, enough, good, maybe, insane, seat, covers.","I drove for Cerber, ferrying the damned to their eternal slumber. The darkness outside my cab was a living thing, seeping in through the cracks and crevices of my worn seat. I'd gone too far, driven too many hours without rest, and my eyes felt heavy as anchors. Just enough moonlight filtered through the grimy covers of my windshield to illuminate the endless highway.

Maybe it was the weight of their screams, or the stench of their souls, but I felt my grip on sanity starting to slip. The lines on the road blurred, became a canvas of twisted, screaming faces. I went faster, the engine roaring like a beast as I hurtled towards the edge of my own mind.

I'd driven for Cerber long enough to know the signs. The good nights, when the darkness was just a gentle hum, were few and far between. Tonight was a bad one. The covers of my cab were drenched in sweat, the air thick with the stench of my own fear. And still I drove, the seat beneath me a cold, hard tomb, as I sped towards the abyss.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0970,0970_Graphite.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Graphite. Motifs or anchor words: hospital, burns, thomas, seemed, berkley, harriet, home, terrified.","As I stepped into the hospital's dimly lit hallway, the scent of disinfectant and something else - something acrid and sweet - clung to my skin like a damp shroud. The walls seemed to press in, their peeling paint a macabre dance of decay. I had to get to Room 314, where Thomas lay, his body a canvas of burns that would sear the memory into my mind forever.

I turned a corner, my footsteps echoing off the linoleum. Berkley, my partner, called out from the nurse's station, her voice a gentle reminder of the world outside this place. I waved, my hand shaking with anticipation. Harriet, our patient, had been in a coma for days, and I'd been told she was slipping away. I had to see her before it was too late.

As I entered the room, a chill crept up my spine. The air inside was heavy, like a physical weight. Harriet lay still, her eyes sunken, her skin a ghastly shade of gray. The machines beeped and hummed, a discordant melody that seemed to pierce the darkness. I approached the bed, my heart racing with a growing sense of unease. And then, I saw it. A small, deliberate word, scrawled on the wall in graphite: ""Home.""",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2358,2358_Hell.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Hell. Motifs or anchor words: light, truck, figure, rain, front, white, morning, nearly.","The rain-soaked streets of hell echoed with the distant hum of a truck, its tires skidding on the slick asphalt. I walked, my boots heavy with the weight of the morning's darkness, nearly suffocating me. The air reeked of sulfur and something sweet, like decayed flesh. I squinted through the rain, trying to make out the figure standing at the front of the truck, its features obscured by a halo of pale, white light. The driver's face was a mess of twisted, raw meat, eyes sunken and empty as the void. As I watched, the truck's headlights flickered, casting an eerie glow on the walls of the surrounding buildings. The light danced across the wet pavement, beckoning me closer, like a siren's call. And I felt myself drawn, helpless, to the figure's beckoning, the sound of the truck's engine growing louder, the rain drumming out a maddening rhythm in my ears.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0398,0398_My_Account.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: My Account. Motifs or anchor words: ripples, mind, ocean, whatever, coming, drawing, something, know.","As I sit at my desk, surrounded by the familiar comforts of my childhood, I can't shake the feeling that the words on my account statements are no longer mine alone. The numbers dance before my eyes, ripples spreading outward from the surface like the gentle lapping of the ocean against the shore. Whatever it is that's been drawing closer, I know it's coming. The thought sends a shiver down my spine as I try to focus on the columns of figures, but my mind refuses to grasp the truth.

The lines blur and shift, becoming illegible, as if the ink itself is bleeding into the paper. I feel a presence hovering just out of reach, its cold breath whispering secrets in my ear. Whatever it is, it's not just my account it's after. It's after everything.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2088,2088_The_Art_of_Persuasion.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: The Art of Persuasion. Motifs or anchor words: floor, house, felt, going, space, asleep, cooper, last.","As I stepped into the musty foyer, the air clung to my skin like a damp shroud. The creaking floorboards seemed to echo my every move, leading me deeper into the heart of the old house. I felt an inexplicable pull, as if the space itself was drawing me closer to some unseen presence. The words ""The Art of Persuasion"" etched into the wall seemed to pulse with a malevolent energy, and I felt my steps becoming heavier, as if I were being pulled under a weightless gravity.

I tried to shake off the feeling, telling myself I was just being foolish, but my skin prickled with gooseflesh as I descended the stairs. The house seemed to shift around me, the shadows twisting into impossible geometries that made my stomach roil. I stumbled, and the floor seemed to sigh in response, as if it too were going to sleep.

I paused, my heart pounding in my chest. The air grew colder, and I could have sworn I felt a presence behind me, its hot breath whispering in my ear. The words on the wall seemed to blur, their letters blurring into a morse code that spelled out a single, chilling message: ""Cooper, you're going to listen.""",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2221,2221_Do_Not_Enter.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Do Not Enter. Motifs or anchor words: something, seemed, usually, type, trouble, other, doing, since.","The words ""Do Not Enter"" scrawled on the door in red paint seemed to writhe like a living thing, as if trying to warn away the type of person who would dare approach. But I was not that type of person. Not usually, at least. Trouble found me, however, the moment I pushed the door open and stepped into the musty darkness. Something shifted in the shadows, a sound like the quiet scraping of fingernails on dry earth. I did not turn on the light, did not want to disturb the fragile balance. But as I made my way deeper, the air grew thick with the scent of decay and rot, and I couldn't shake the feeling that I was being pulled towards something ancient, something that did not want me here. Since I'd entered, the silence had grown heavier, a weight that pressed upon my chest. And yet, I moved forward, drawn to the darkness like a moth to a flame.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s3391,3391_Journal_Found_Within_the_Woods.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Journal Found Within the Woods. Motifs or anchor words: forest, things, best, left, period, ground, taken, strong.","Journal Found Within the Woods

I've been walking for hours, the trees looming above me like sentinels. The rustling of leaves beneath my feet is the only sound. I've started to feel like I'm being watched, but every time I turn to look, there's no one there. I've begun to doubt my own sanity.

I've found something strange - a journal. It's old and worn, the pages yellowed with age. The entries are cryptic, but they seem to be describing something. The writer speaks of things that lurk in the forest, of eyes that watch from the trees. They speak of the best way to defend oneself, but I'm not sure what they mean.

I've been left with more questions than answers. What do they mean by ""taken""? What has been taken? And why? The forest seems to be closing in around me, the trees growing taller and darker. I can feel their weight on me, their strong branches reaching out to snare me.

I've tried to write my own thoughts, but the words won't come. My hand trembles as I hold the pen, the paper blank and staring back at me like a challenge. I've been taken in by the forest's silence, and I fear I may never escape.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s0131,0131_The_Strange_Case_of_Edmonson_Kentucky.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: The Strange Case of Edmonson Kentucky. Motifs or anchor words: people, counties, singing, missing, united, states, person, stevens.","The darkness crept over Edmonson County like a shroud, suffocating the very air with its presence. People whispered of strange occurrences, of loved ones gone missing, and the eerie singing that echoed through the woods at night. The once-united community was now torn asunder by fear and uncertainty.

Stevens, the local sheriff, stood at the edge of town, his eyes scanning the deserted streets. He had always been a just and fair man, but the weight of the missing persons cases was crushing him. The farther he searched, the more he became convinced that something was watching him, waiting for him to join the ranks of the vanished.

As night fell, the singing grew louder, a haunting melody that seemed to come from all directions at once. Stevens felt his heart race as he quickened his pace, his hand instinctively reaching for his gun. The darkness seemed to be closing in, and he knew he had to find the source of the singing before it was too late.

But as he turned a corner, he saw her. The woman with the porcelain skin and black hair, her eyes black as coal, standing in the center of the street. Her mouth was open, her lips moving silently as she sang. Stevens' heart froze as he approached her, his gun trembling in his hand.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s1654,1654_Sonnet_of_the_Deep.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Sonnet of the Deep. Motifs or anchor words: across, something, size, seemed, water, wasn, happening, dreaming.","In the stillness, I lay across the bed, my mind adrift on the surface of my thoughts. Something lurked beneath, its presence seeping into my dreams like a cold draft on a winter's night. The watercolor hues of twilight seeped through the curtains, casting an eerie glow on the walls. It seemed as if the shadows themselves were alive, twisting and writhing like serpents across the floor.

I wasn't sleeping, wasn't dreaming, but something was happening. A creeping sense of dread seeped into my bones, as if the darkness was slowly suffocating me. The air grew thick and heavy, weighing upon my chest like a physical force. I tried to sit up, to shake off the feeling, but my limbs felt leaden and unresponsive.

Across the room, a faint sound echoed, like the soft lapping of waves against the shore. It grew louder, more insistent, until I felt the water lapping at my ankles, creeping up my legs like a chill. And still, I lay there, paralyzed, as the darkness closed in, a suffocating shroud that seemed to swallow all in its path.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s2372,2372_The_Eighth_Crusade.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: The Eighth Crusade. Motifs or anchor words: city, long, seen, back, wouldn, open, vatican, locke.","The city stretched on, long and unwavering, its spires reaching towards the Vatican like skeletal fingers. I'd seen it all before, yet every time I returned, the sight still sent a shiver down my back. The streets were empty, the only sound the soft hum of torches casting flickering shadows on the walls. I wandered, won by the allure of the unknown, the scent of old parchment and smoke guiding me deeper into the heart of the city.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s3270,3270_Behind_Closed_Doors.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Behind Closed Doors. Motifs or anchor words: alyssia, remember, room, outside, other, kailyn, ashley, planning.","Behind Closed Doors

Alyssia's whispers seeped through the cracks in the walls, a gentle breeze that rustled the sheets. Remember the way Kailyn's laughter echoed through this room, a haunting melody that still lingered, a ghostly refrain. Outside, the trees creaked in the wind, their branches like skeletal fingers grasping for the sky.

Ashley's eyes fluttered open, her pupils constricting to pinpricks as she gazed up at the ceiling. The shadows danced, twisting into grotesque shapes that seemed to writhe and twist, alive. In the room's dim light, the air hung heavy with the scent of decay, a noxious odor that clung to the back of her throat.

Remember the way Kailyn's smile faltered, her eyes glazing over like shattered glass. Alyssia's whispers grew louder, a susurrus that seeped into Ashley's mind, eroding the fragile barrier between reality and madness. Outside, the wind howled, a mournful cry that seemed to come from beyond the walls, a chorus of the damned.

As Ashley's grip on sanity slipped, the room began to shift, the shadows deepening into abyssal crevices that seemed to swallow the light. Remember the way Alyssia's voice whispered secrets in her ear, secrets that made her skin crawl and her heart race. Outside, the wind raged, a maelstrom of despair that threatened to consume them all.

And in the darkness, Ashley's thoughts grew hazy, a swirling vortex of dread that pulled her down, down, down, into the abyss of forgotten memories and unspoken terrors.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s3270,3270_Behind_Closed_Doors.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Behind Closed Doors. Motifs or anchor words: purpose, kailyn, feeling, went, lung, couple, seconds, seemed.","Behind Closed Doors

As I stood there, feeling the weight of my purpose settle on my shoulders, I couldn't shake the sensation that Kailyn was watching me from the other side of the door. The air grew thick with anticipation, heavy with the scent of decay. I went to turn the handle, but my hand trembled, refusing to move.

Suddenly, a faint whisper seemed to caress my ear: ""You're late."" The sound sent a shiver down my spine, and I spun around, but there was no one there. The whisper lingered, echoing in my mind as I tried to shake off the feeling.

I went to move again, but my feet seemed rooted to the spot. The whisper grew louder, the words morphing into a chilling melody that seemed to seep from the very walls. My lung expanded in a silent scream as I felt the presence closing in around me. I was trapped, and I knew I wouldn't be leaving anytime soon.

The seconds ticked by at a glacial pace as I stood there, frozen in terror. The whisper grew louder, more urgent, and I felt myself being pulled towards the door. It was as if an unseen force was summoning me, drawing me towards the darkness that lurked beyond. I went, and the door creaked open with an otherworldly sigh.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s1409,1409_Him.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Him. Motifs or anchor words: open, girlfriend, started, driving, first, soon, drive, father.","Him sat in the driver's seat, his girlfriend's voice echoing in his mind like a siren's call. ""Meet me at the old oak by the lake,"" she'd said, her words seeping into the silence like a chill. He'd started the engine, the rumble of the car a slow, menacing heartbeat. The open road stretched out before him like a canvas of darkness, awaiting his brushstrokes of fear.

As he drove, the trees grew taller, their branches reaching out like skeletal fingers to snag at the car's doors. The first hints of dawn crept over the horizon, casting an otherworldly glow over the landscape. Him felt the weight of his father's eyes upon him, though he knew he was alone.

The drive was taking longer than expected, the GPS's soft voice a steady reminder that he was lost. Him's fingers tightened around the wheel as the road began to wind and twist, the car's tires eating up the miles like a ravenous beast. Soon, the trees would close in, their branches tangling around the car like a noose. Him's heart beat in time with the engine's thrum, a deathly rhythm that seemed to be drawing him closer to the lake, and the darkness that lurked beneath its surface.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
s1945,1945_Tell_Them_Increase.txt,"Write a short literary horror fragment in English. Keep the prose natural and unsettling, with rising tension and no explanation. Story context/title: Tell Them Increase. Motifs or anchor words: closer, cages, heads, eyes, cage, face, open, palms.","As I stepped closer, the shadows seemed to deepen, like fingers reaching out to snatch at my ankles. The cages, once empty, now held the heads of the forgotten, their eyes frozen in perpetual terror. I felt an unnatural urge to join their ranks, my own face reflected in the glassy surface of the nearest cage. The air was heavy with the scent of decay and something sweeter, like the promise of secrets. I reached out a trembling palm to touch the cold metal bars, and as my fingers made contact, the faces began to turn, their eyes locking onto mine. The whispers started then, a soft susurration that grew in intensity, urging me to open the cage, to join the ranks of the damned. Tell them increase.",ai_base,meta-llama/Meta-Llama-3-8B-Instruct
